-62978.3,70
-62476.4,101
-61974.4,104
-61472.5,112
-60970.5,114
-60468.6,118
-59966.6,118
-59464.7,121
-58962.7,121
-58460.8,128
-57958.8,134
-57456.9,157
-56954.9,149
-56452.9,142
-55951,151
-55449,152
-54947.1,150
-54445.1,156
-53943.2,167
-53441.2,159
-52939.3,178
-52437.3,170
-51935.4,179
-51433.4,192
-50931.5,190
-50429.5,198
-49927.5,208
-49425.6,218
-48923.6,228
-48421.7,243
-47919.7,252
-47417.8,273
-46915.8,303
-46413.9,342
-45911.9,429
-45410,3400
-44908,5579
-44406.1,3380
-43904.1,2689
-43402.1,2359
-42900.2,2160
-42398.2,1946
-41896.3,1794
-41394.3,1692
-40892.4,1568
-40390.4,1494
-39888.5,1404
-39386.5,1341
-38884.6,1402
-38382.6,1241
-37880.7,1170
-37378.7,1145
-36876.8,1113
-36374.8,1085
-35872.8,1036
-35370.9,1142
-34868.9,972
-34367,961
-33865,939
-33363.1,911
-32861.1,892
-32359.2,874
-31857.2,859
-31355.3,830
-30853.3,832
-30351.4,823
-29849.4,864
-29347.4,776
-28845.5,932
-28343.5,737
-27841.6,749
-27339.6,728
-26837.7,718
-26335.7,700
-25833.8,672
-25331.8,694
-24829.9,675
-24327.9,669
-23826,642
-23324,670
-22822,661
-22320.1,710
-21818.1,597
-21316.2,622
-20814.2,602
-20312.3,588
-19810.3,588
-19308.4,589
-18806.4,576
-18304.5,556
-17802.5,570
-17300.6,549
-16798.6,550
-16296.6,561
-15794.7,543
-15292.7,530
-14790.8,537
-14288.8,522
-13786.9,509
-13284.9,627
-12783,518
-12281,604
-11779.1,517
-11277.1,484
-10775.2,475
-10273.2,491
-9771.25,476
-9269.29,469
-8767.34,466
-8265.39,464
-7763.43,468
-7261.48,457
-6759.53,618
-6257.57,474
-5755.62,534
-5253.66,436
-4751.71,445
-4249.76,433
-3747.8,424
-3245.85,430
-2743.9,417
-2241.94,427
-1739.99,410
-1238.03,413
-736.081,409
-234.127,46116
267.826,407
769.78,398
1271.73,406
1773.69,381
2275.64,387
2777.6,406
3279.55,471
3781.5,405
4283.46,379
4785.41,375
5287.36,381
5789.32,361
6291.27,371
6793.23,365
7295.18,357
7797.13,376
8299.09,345
8801.04,374
9302.99,333
9804.95,80249
10306.9,1725
10808.9,1219
11310.8,1050
11812.8,885
12314.7,1005
12816.7,993
13318.6,1094
13820.6,1113
14322.5,329
14824.5,335
15326.4,337
15828.4,316
16330.3,341
16832.3,310
17334.3,323
17836.2,332
18338.2,310
18840.1,339
19342.1,300
19844,310
20346,324
20847.9,308
21349.9,329
21851.8,297
22353.8,310
22855.7,307
23357.7,298
23859.7,323
24361.6,290
24863.6,306
25365.5,313
25867.5,287
26369.4,311
26871.4,291
27373.3,286
27875.3,311
28377.2,291
28879.2,281
29381.1,313
29883.1,276
30385.1,295
30887,301
31389,270
31890.9,279
32392.9,286
32894.8,287
33396.8,294
33898.7,291
34400.7,294
34902.6,292
35404.6,302
35906.5,284
36408.5,293
36910.4,308
37412.4,285
37914.4,279
38416.3,305
38918.3,289
39420.2,285
39922.2,300
40424.1,306
40926.1,303
41428,289
41930,295
42431.9,290
42933.9,270
43435.8,290
43937.8,287
44439.8,289
44941.7,283
45443.7,272
45945.6,304
46447.6,288
46949.5,290
47451.5,279
47953.4,289
48455.4,295
48957.3,301
49459.3,297
49961.2,296
50463.2,297
50965.2,296
51467.1,297
51969.1,303
52471,306
52973,303
53474.9,315
53976.9,318
54478.8,318
54980.8,328
55482.7,322
55984.7,338
56486.6,349
56988.6,352
57490.6,364
57992.5,368
58494.5,377
58996.4,373
59498.4,329
60000.3,322
60502.3,296
61004.2,293
61506.2,281
62008.1,274
62510.1,265
63012,268
63514,258
64016,255
64517.9,253
65019.9,1
